Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,SEO Title,SEO Description,Status
pulso-match-balls,PULSO Match Balls (Tube of 3),"<p><strong>Consistent bounce, match after match.</strong></p><p>Pressurised padel balls built for a true, lively bounce and a durable felt that holds up rally after rally. When the bounce fades, your game does too — keep a fresh tube in the bag.</p><ul><li>Tube of 3 pressurised padel balls</li><li>Optimised bounce &amp; durable felt</li><li>Suits all levels — indoor &amp; outdoor play</li><li>Tip: replace every few sessions for best bounce</li></ul>",PULSO,Balls,"Balls,Consumables,Beginner,Improver,Advanced",FALSE,Title,Default Title,PULSO-MATCH-BALLS,150,,0,continue,manual,11.99,TRUE,TRUE,g,PULSO Match Balls — Tube of 3 Padel Balls,"Pressurised padel balls with a true, consistent bounce. Tube of 3. Fast EU delivery.",draft
pulso-overgrips,PULSO Pro Overgrips,"<p><strong>Tacky, sweat-wicking grip that lasts.</strong></p><p>A soft, tacky overgrip that locks in your hold and wicks away sweat so the racket never slips mid-point. Quick to wrap, comfortable for hours — replace as soon as the tack fades.</p><ul><li>High-tack, sweat-wicking overgrip</li><li>Comfortable cushioned feel</li><li>Easy to apply over your existing grip</li><li>Stock up — grips wear every few sessions</li></ul>",PULSO,Grips & Tape,"Grips,Consumables,Beginner,Improver,Advanced",FALSE,Pack,3-pack,PULSO-OG-3,60,,0,continue,manual,8.99,TRUE,TRUE,g,PULSO Pro Overgrips — Tacky Padel Overgrip Multipack,"Tacky, sweat-wicking padel overgrips. 3-pack or 12-pack. Better hold, fewer slips.",draft
pulso-overgrips,,,,,,,Pack,12-pack,PULSO-OG-12,200,,0,continue,manual,24.99,TRUE,TRUE,g,,,
pulso-edge-tape,PULSO Edge Protection Tape,"<p><strong>Protect your racket frame from court rash.</strong></p><p>Adhesive head-protection tape that guards your racket&#x27;s top edge from scrapes against the court and walls — cheap insurance for an expensive racket.</p><ul><li>Protects racket head from scuffs &amp; impact</li><li>Strong adhesive, clean application</li><li>Trim to fit any racket shape</li></ul>",PULSO,Grips & Tape,"Grips,Consumables,Accessories",FALSE,Title,Default Title,PULSO-EDGE-TAPE,40,,0,continue,manual,6.99,TRUE,TRUE,g,PULSO Edge Protection Tape for Padel Rackets,Protect your padel racket frame from court rash with PULSO edge tape.,draft
pulso-dampeners,PULSO Vibration Dampeners (2-Pack),"<p><strong>Take the sting out of every hit.</strong></p><p>Reduce string vibration for a cleaner, more comfortable feel on contact. A tiny upgrade you&#x27;ll notice on every shot. Two per pack.</p><ul><li>Cuts vibration for a smoother feel</li><li>Easy to fit</li><li>2 dampeners per pack</li></ul>",PULSO,Accessories,"Accessories,Beginner,Improver,Advanced",FALSE,Title,Default Title,PULSO-DAMPENERS,20,,0,continue,manual,7.99,TRUE,TRUE,g,PULSO Padel Vibration Dampeners — 2 Pack,"Reduce vibration for a cleaner feel. PULSO dampeners, 2-pack.",draft
pulso-wristbands,PULSO Wristbands (Pair),"<p><strong>Stay dry, keep your grip.</strong></p><p>Soft, absorbent wristbands that keep sweat off your hands so your grip stays reliable through long matches. Sold as a pair.</p><ul><li>Absorbent, comfortable cotton blend</li><li>Keeps sweat off your hands &amp; grip</li><li>Pair — one for each wrist</li></ul>",PULSO,Accessories,"Accessories,Apparel",FALSE,Title,Default Title,PULSO-WRISTBANDS,60,,0,continue,manual,9.99,TRUE,TRUE,g,PULSO Padel Wristbands — Pair,Absorbent padel wristbands to keep your grip dry. Sold as a pair.,draft
pulso-racket-bag,PULSO Racket Bag,"<p><strong>Everything in its place, on and off court.</strong></p><p>A purpose-built padel bag with room for rackets, balls, shoes and the essentials — organised compartments, comfortable carry, and a clean, modern look.</p><ul><li>Fits multiple rackets + gear</li><li>Dedicated compartments (shoes, balls, valuables)</li><li>Padded, comfortable straps</li><li>Durable, water-resistant material</li></ul>",PULSO,Bags,"Bags,Beginner,Improver,Advanced",FALSE,Title,Default Title,PULSO-RACKET-BAG,700,,0,continue,manual,49.99,TRUE,TRUE,g,PULSO Padel Racket Bag — Organised & Durable,"A modern padel racket bag with room for rackets, shoes and gear. Fast EU delivery.",draft
pulso-backpack,PULSO Padel Backpack,"<p><strong>Court-to-anywhere carry.</strong></p><p>A premium padel backpack that holds your rackets and kit while looking just as good off the court. Smart compartments, comfortable on the commute or the bus to the club.</p><ul><li>Holds rackets + daily essentials</li><li>Ventilated shoe/wet compartment</li><li>Padded laptop-friendly back panel</li><li>Premium, everyday-ready design</li></ul>",PULSO,Bags,"Bags,Improver,Advanced",FALSE,Title,Default Title,PULSO-BACKPACK,900,,0,continue,manual,59.99,TRUE,TRUE,g,PULSO Padel Backpack — Premium Court-to-Anywhere,Premium padel backpack with smart compartments. Court-to-anywhere carry.,draft
pulso-towel,PULSO Microfibre Court Towel,"<p><strong>Quick-dry, court-ready.</strong></p><p>A compact, fast-drying microfibre towel that clips to your bag and handles sweat between games. Light, absorbent, and built for the bench.</p><ul><li>Fast-drying microfibre</li><li>Compact with carry clip</li><li>Soft and highly absorbent</li></ul>",PULSO,Accessories,"Accessories,Apparel",FALSE,Title,Default Title,PULSO-TOWEL,200,,0,continue,manual,14.99,TRUE,TRUE,g,PULSO Microfibre Padel Court Towel,Quick-dry microfibre padel towel with carry clip. Court-ready.,draft
pulso-starter-kit,PULSO Starter Kit,"<p><strong>New to padel? Everything you need, in one kit.</strong></p><p>Skip the guesswork. The Starter Kit pairs a forgiving, easy-to-play racket with balls, an overgrip and a bag — everything you need to step on court ready to play. The simplest way to start.</p><ul><li>Beginner-friendly racket (round / control)</li><li>Tube of PULSO Match Balls</li><li>PULSO Pro Overgrip</li><li>PULSO Racket Bag</li><li>Save vs buying separately</li></ul>",PULSO,Bundles,"Bundles,Beginner,Featured",FALSE,Title,Default Title,PULSO-STARTER-KIT,1500,,0,continue,manual,99.99,TRUE,TRUE,g,PULSO Starter Kit — Everything to Start Padel,"New to padel? The PULSO Starter Kit has the racket, balls, grip and bag — ready to play.",draft
